course_index,course_title
0,Ultimate Investment Banking Course
1,Complete GST Course & Certification - Grow Your CA Practice
2,Financial Modeling for Business Analysts and Consultants
3,Beginner to Pro - Financial Analysis in Excel 2017
4,How To Maximize Your Profits Trading Options
5,Trading Penny Stocks: A Guide for All Levels In 2017
6,Investing And Trading For Beginners: Mastering Price Charts
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains"
8,Options Trading 3 : Advanced Stock Profit and Success Method
9,The Only Investment Strategy You Need For Your Retirement
10,Forex Trading Secrets of the Pros With Amazon's AWS
11,Trading Options With Money Flow
12,Financial Management Risk and Return For Securities
13,Forex Trading Course: Work Smarter Not Harder Proven Results
14,Python Algo Trading: Sentiment Trading with News
15,Short Selling: Learn To Sell Stocks Before The Fall
16,Basic Technical Analysis: Learn the structure of the market
17,The Complete Chart Pattern Trading Course: A Proven Approach
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!
19,Financial Statements Made Easy
20,Winning Forex Trading with Live Forex Trading Examples
21,Forex Traders - Create Your First Trading Robot. No Coding!
22,Create A Business From Home Trading Stocks Today In 2017
23,Introduction to Accounting : Mastering Financial Statements
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training
26,Investing 101: The Complete Online Investing Course
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5)
29,Forex Trading: Your Complete Guide to Get Started Like a Pro
30,Python Algo Stock Trading: Automate Your Trading!
31,THE Forex Robot: Incredible ROI (Robot Included)
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet
33,Mastering High Probability Iron Condor Options Trading
34,The Complete Short Course on Ethereum
35,Options Trading Stocks: Proven Toolbox For Financial Success
36,Forex Trading A-Z™ - With LIVE Examples of Forex Trading
37,"Introduction to Finance, Accounting, Modeling and Valuation"
38,Beginner to Pro in Excel: Financial Modeling and Valuation
39,The Complete Investment Banking Course 2017
40,The Complete Financial Analyst Course 2017
41,Python for Finance: Investment Fundamentals & Data Analytics
42,Financial Modeling for Startups & Small Businesses
43,Options Trading - How to Win with Weekly Options
44,Black Algo Trading: Build Your Trading Robot
45,Accounting & Financial Statement Analysis: Complete Training
46,Cryptocurrency Trading: Complete Guide To Trading Altcoins
47,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!
48,Three Steps Trading - Live Trading - Real Account
49,Option Trading for Rookies:  Understand Options Completely
50,How I Learned Stock Trading (and How You Can Too)
51,Learn to Trade for Profit: Find and Trade Winning Stocks
52,Trading Inside Bars - Master 1 Easy Pattern To Be Successful
53,Four Fundamentals of Financial Planning
54,Options Trading - Calendar Spread Course for Every Trader
55,Dividend Investing: Build Your Portfolio for a Better Future
56,Learn Accounting. Understand Business.
57,How to Consistently Win Trading Stocks in 30 Days or Less
58,A Beginner's Guide to Quantopian Futures API
59,How to Buy Cheap Options - Options Trading Pricing Model
60,Excel Crash Course: Master Excel for Financial Analysis
61,"Comprehensive Guide to Financial Markets, Investing &Trading"
62,Stock Trading Ninja: Complete System For Trading Success
63,Hedge and Mutual Fund Careers: The Complete Guide
64,Algorithmic Trading In Forex: Create Your First Forex Robot!
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days
66,Options Trading Basics (3-Course Bundle)
67,How to Win 97% of Your Options Trades
68,How I Make Consistent Returns Trading Options
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!"
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex"
71,Options Trading Introduction: Day Trade Stock Options
72,The Almost Perfect Options Trading Strategy System - Unique
73,Forex Trading -  Learn to Trade Forex Like the Banks
74,Learn to Trade for Profit:Trading with Japanese Candlesticks
75,The Most Powerful Options Spread Trading Front Ratio Spread
76,What Finance Job is for You? Explanation of 14 Finance Roles
77,The Blueprint for Successful Stock Trading
78,Trading for Beginners - Intermediate Level
79,Start Trading Stocks Using Technical Analysis!
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step
81,VPS for Forex Trading - Protect Your Forex Robots
82,Introduction to Accounting: The Language of Business
83,Basic Excel for Basic Bookkeeping and Accounting
84,"Using 'The Greeks To Understand Options"""
85,Trading Options For Consistent Returns: Calendar Spreads
86,How to Create Your Personal Budget
87,The Complete Value Investing Course: A Proven Approach
88,FOREX Trading with Price Action
89,Emini ES Futures - Advanced Non Directional Options Trading
90,Forex Trading - Advanced Fundamental Analysis
91,How To Invest With Tiny Capital In Stocks ?
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader
94,Intermediate Options trading concepts for Stocks and Options
95,Options Trading 101: The Basics
96,Practical Accounts APP Overview
